GeranCellId,Parameter,ext_Value,int_Value,e_NodeId,i_NodeId,equal,IsNumeric
CGMIRF7B,bcc,,0,CBEC5,CBEB0,False,False
CC0XI7A,bcc,,0,CBEC4,CBEC0,False,False
CMBRRC8A,bcc,,1,DBEA5,DBEA1,False,False
CGMIRF7C,bcc,,1,CBEA8,CBEB0,False,False
CGMIRF7B,bcchNo,,78,CBEC5,CBEB0,False,False
CC4D29A,bcchNo,1022.0,76,CBEC0,CBEC4,False,False
CC0XI7A,bcchNo,,76,CBEC4,CBEC0,False,False
CC5M57C,bcchNo,1022.0,62,CBEB1,CBEC5,False,False
CMBRRC8A,bcchNo,,59,DBEA5,DBEA1,False,False
CGMIRF7C,bcchNo,,1023,CBEA8,CBEB0,False,False
KCPNC04C,bcchNo,1019.0,79,DBEA3,CBEB1,False,False
CGMIRF7B,bsPwr,80,43,CBEC5,CBEB0,False,False
CGCDG67B,bsPwr,42,40,CBEC2,CBEB3,False,False
CC3O52A,bsPwr,42,40,CBEC2,CBEC3,False,False
CC3L74A,bsPwr,42,40,CBEC2,CBEC3,False,False
CC3L74B,bsPwr,42,40,CBEC2,CBEC3,False,False
CC3L74C,bsPwr,42,40,CBEC2,CBEC3,False,False
CC3O12A,bsPwr,42,40,CBEC2,CBEC3,False,False
CC3O12C,bsPwr,42,40,CBEC2,CBEC3,False,False
CC3O52C,bsPwr,42,40,CBEC2,CBEC3,False,False
CC3O68C,bsPwr,42,40,CBEC2,CBEC3,False,False
CC3B44C,bsPwr,42,43,CBEC2,CBEC3,False,False
CC3G60A,bsPwr,42,43,CBEC2,CBEC3,False,False
CC3885C,bsPwr,42,43,CBEC2,CBEC3,False,False
CC3063C,bsPwr,42,43,CBEC2,CBEC3,False,False
CC3B44A,bsPwr,42,40,CBEC2,CBEC3,False,False
CGCDG53C,bsPwr,42,43,CBEC2,CBEB3,False,False
CGCDG67C,bsPwr,42,40,CBEC2,CBEB3,False,False
CGCDG28C,bsPwr,42,43,CBEC2,CBEB3,False,False
CGCDG53B,bsPwr,42,43,CBEC2,CBEB3,False,False
CGCDG53A,bsPwr,42,43,CBEC2,CBEB3,False,False
CGBYZ16B,bsPwr,42,43,CBEC2,CBEB3,False,False
CGBYZ78B,bsPwr,42,40,CBEC2,CBEB3,False,False
CC0XI7A,bsPwr,80,40,CBEC4,CBEC0,False,False
LXRGN10C,bsPwr,42,43,DBEA2,CBEA5,False,False
DA5IF4B,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5XY2B,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5704C,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5W39A,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5BD7B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5454B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5454A,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5136A,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5NQ5A,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5IF4A,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5RB6B,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5YK0B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5ZD8B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5QU8B,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5704B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5BN1C,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5YK0C,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5C52B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5C19A,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5136C,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5A6TB,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5BN1B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5BN1A,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5QU8A,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5731C,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5V89C,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5731B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5161B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5C12B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5WD7C,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5161A,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5161C,bsPwr,42,43,DBEA4,DBEA5,False,False
