GeranCellId,Parameter,ext_Value,int_Value,e_NodeId,i_NodeId,equal,IsNumeric,part_2
CGMIRF7B,bcc,,0,CBEC5,CBEB0,False,False,bcc:0
CC0XI7A,bcc,,0,CBEC4,CBEC0,False,False,bcc:0
CMBRRC8A,bcc,,1,DBEA5,DBEA1,False,False,bcc:1
CGMIRF7C,bcc,,1,CBEA8,CBEB0,False,False,bcc:1
CGMIRF7B,bcchNo,,78,CBEC5,CBEB0,False,False,bcchNo:78
CC4D29A,bcchNo,1022.0,76,CBEC0,CBEC4,False,False,bcchNo:76
CC0XI7A,bcchNo,,76,CBEC4,CBEC0,False,False,bcchNo:76
CC5M57C,bcchNo,1022.0,62,CBEB1,CBEC5,False,False,bcchNo:62
CMBRRC8A,bcchNo,,59,DBEA5,DBEA1,False,False,bcchNo:59
CGMIRF7C,bcchNo,,1023,CBEA8,CBEB0,False,False,bcchNo:1023
KCPNC04C,bcchNo,1019.0,79,DBEA3,CBEB1,False,False,bcchNo:79
CGMIRF7B,bsPwr,80,43,CBEC5,CBEB0,False,False,bsPwr:43
CGCDG67B,bsPwr,42,40,CBEC2,CBEB3,False,False,bsPwr:40
CC3O52A,bsPwr,42,40,CBEC2,CBEC3,False,False,bsPwr:40
CC3L74A,bsPwr,42,40,CBEC2,CBEC3,False,False,bsPwr:40
CC3L74B,bsPwr,42,40,CBEC2,CBEC3,False,False,bsPwr:40
CC3L74C,bsPwr,42,40,CBEC2,CBEC3,False,False,bsPwr:40
CC3O12A,bsPwr,42,40,CBEC2,CBEC3,False,False,bsPwr:40
CC3O12C,bsPwr,42,40,CBEC2,CBEC3,False,False,bsPwr:40
CC3O52C,bsPwr,42,40,CBEC2,CBEC3,False,False,bsPwr:40
CC3O68C,bsPwr,42,40,CBEC2,CBEC3,False,False,bsPwr:40
CC3B44C,bsPwr,42,43,CBEC2,CBEC3,False,False,bsPwr:43
CC3G60A,bsPwr,42,43,CBEC2,CBEC3,False,False,bsPwr:43
